,종,섬,부리_길이_mm,부리_깊이_mm,뒷다리_길이_mm,체중_g,성별
52,아델리,비스코,35.0,17.9,190.0,3450.0,암컷
53,아델리,비스코,42.0,19.5,200.0,4050.0,수컷
54,아델리,비스코,34.5,18.1,187.0,2900.0,암컷
55,아델리,비스코,41.4,18.6,191.0,3700.0,수컷
56,아델리,비스코,39.0,17.5,186.0,3550.0,암컷
57,아델리,비스코,40.6,18.8,193.0,3800.0,수컷
58,아델리,비스코,36.5,16.6,181.0,2850.0,암컷
59,아델리,비스코,37.6,19.1,194.0,3750.0,수컷
60,아델리,비스코,35.7,16.9,185.0,3150.0,암컷
61,아델리,비스코,41.3,21.1,195.0,4400.0,수컷
62,아델리,비스코,37.6,17.0,185.0,3600.0,암컷
63,아델리,비스코,41.1,18.2,192.0,4050.0,수컷
64,아델리,비스코,36.4,17.1,184.0,2850.0,암컷
65,아델리,비스코,41.6,18.0,192.0,3950.0,수컷
66,아델리,비스코,35.5,16.2,195.0,3350.0,암컷
67,아델리,비스코,41.1,19.1,188.0,4100.0,수컷
68,아델리,토르게르센,35.9,16.6,190.0,3050.0,암컷
69,아델리,토르게르센,41.8,19.4,198.0,4450.0,수컷
70,아델리,토르게르센,33.5,19.0,190.0,3600.0,암컷
71,아델리,토르게르센,39.7,18.4,190.0,3900.0,수컷
72,아델리,토르게르센,39.6,17.2,196.0,3550.0,암컷
73,아델리,토르게르센,45.8,18.9,197.0,4150.0,수컷
74,아델리,토르게르센,35.5,17.5,190.0,3700.0,암컷
75,아델리,토르게르센,42.8,18.5,195.0,4250.0,수컷
76,아델리,토르게르센,40.9,16.8,191.0,3700.0,암컷
77,아델리,토르게르센,37.2,19.4,184.0,3900.0,수컷
78,아델리,토르게르센,36.2,16.1,187.0,3550.0,암컷
79,아델리,토르게르센,42.1,19.1,195.0,4000.0,수컷
80,아델리,토르게르센,34.6,17.2,189.0,3200.0,암컷
81,아델리,토르게르센,42.9,17.6,196.0,4700.0,수컷
82,아델리,토르게르센,36.7,18.8,187.0,3800.0,암컷
83,아델리,토르게르센,35.1,19.4,193.0,4200.0,수컷
84,아델리,드림,37.3,17.8,191.0,3350.0,암컷
85,아델리,드림,41.3,20.3,194.0,3550.0,수컷
86,아델리,드림,36.3,19.5,190.0,3800.0,수컷
87,아델리,드림,36.9,18.6,189.0,3500.0,암컷
88,아델리,드림,38.3,19.2,189.0,3950.0,수컷
89,아델리,드림,38.9,18.8,190.0,3600.0,암컷
90,아델리,드림,35.7,18.0,202.0,3550.0,암컷
91,아델리,드림,41.1,18.1,205.0,4300.0,수컷
92,아델리,드림,34.0,17.1,185.0,3400.0,암컷
93,아델리,드림,39.6,18.1,186.0,4450.0,수컷
94,아델리,드림,36.2,17.3,187.0,3300.0,암컷
95,아델리,드림,40.8,18.9,208.0,4300.0,수컷
96,아델리,드림,38.1,18.6,190.0,3700.0,암컷
97,아델리,드림,40.3,18.5,196.0,4350.0,수컷
98,아델리,드림,33.1,16.1,178.0,2900.0,암컷
99,아델리,드림,43.2,18.5,192.0,4100.0,수컷
100,아델리,비스코,35.0,17.9,192.0,3725.0,암컷
101,아델리,비스코,41.0,20.0,203.0,4725.0,수컷
102,아델리,비스코,37.7,16.0,183.0,3075.0,암컷
103,아델리,비스코,37.8,20.0,190.0,4250.0,수컷
104,아델리,비스코,37.9,18.6,193.0,2925.0,암컷
105,아델리,비스코,39.7,18.9,184.0,3550.0,수컷
106,아델리,비스코,38.6,17.2,199.0,3750.0,암컷
107,아델리,비스코,38.2,20.0,190.0,3900.0,수컷
108,아델리,비스코,38.1,17.0,181.0,3175.0,암컷
109,아델리,비스코,43.2,19.0,197.0,4775.0,수컷
110,아델리,비스코,38.1,16.5,198.0,3825.0,암컷
111,아델리,비스코,45.6,20.3,191.0,4600.0,수컷
112,아델리,비스코,39.7,17.7,193.0,3200.0,암컷
113,아델리,비스코,42.2,19.5,197.0,4275.0,수컷
114,아델리,비스코,39.6,20.7,191.0,3900.0,암컷
115,아델리,비스코,42.7,18.3,196.0,4075.0,수컷
116,아델리,토르게르센,38.6,17.0,188.0,2900.0,암컷
117,아델리,토르게르센,37.3,20.5,199.0,3775.0,수컷
118,아델리,토르게르센,35.7,17.0,189.0,3350.0,암컷
119,아델리,토르게르센,41.1,18.6,189.0,3325.0,수컷
120,아델리,토르게르센,36.2,17.2,187.0,3150.0,암컷
121,아델리,토르게르센,37.7,19.8,198.0,3500.0,수컷
122,아델리,토르게르센,40.2,17.0,176.0,3450.0,암컷
123,아델리,토르게르센,41.4,18.5,202.0,3875.0,수컷
124,아델리,토르게르센,35.2,15.9,186.0,3050.0,암컷
125,아델리,토르게르센,40.6,19.0,199.0,4000.0,수컷
126,아델리,토르게르센,38.8,17.6,191.0,3275.0,암컷
127,아델리,토르게르센,41.5,18.3,195.0,4300.0,수컷
128,아델리,토르게르센,39.0,17.1,191.0,3050.0,암컷
129,아델리,토르게르센,44.1,18.0,210.0,4000.0,수컷
130,아델리,토르게르센,38.5,17.9,190.0,3325.0,암컷
131,아델리,토르게르센,43.1,19.2,197.0,3500.0,수컷
132,아델리,드림,36.8,18.5,193.0,3500.0,암컷
133,아델리,드림,37.5,18.5,199.0,4475.0,수컷
134,아델리,드림,38.1,17.6,187.0,3425.0,암컷
135,아델리,드림,41.1,17.5,190.0,3900.0,수컷
136,아델리,드림,35.6,17.5,191.0,3175.0,암컷
137,아델리,드림,40.2,20.1,200.0,3975.0,수컷
138,아델리,드림,37.0,16.5,185.0,3400.0,암컷
139,아델리,드림,39.7,17.9,193.0,4250.0,수컷
140,아델리,드림,40.2,17.1,193.0,3400.0,암컷
141,아델리,드림,40.6,17.2,187.0,3475.0,수컷
142,아델리,드림,32.1,15.5,188.0,3050.0,암컷
143,아델리,드림,40.7,17.0,190.0,3725.0,수컷
144,아델리,드림,37.3,16.8,192.0,3000.0,암컷
145,아델리,드림,39.0,18.7,185.0,3650.0,수컷
146,아델리,드림,39.2,18.6,190.0,4250.0,수컷
147,아델리,드림,36.6,18.4,184.0,3475.0,암컷
148,아델리,드림,36.0,17.8,195.0,3450.0,암컷
149,아델리,드림,37.8,18.1,193.0,3750.0,수컷
150,아델리,드림,36.0,17.1,187.0,3700.0,암컷
151,아델리,드림,41.5,18.5,201.0,4000.0,수컷
152,킨스트랩,드림,46.5,17.9,192.0,3500.0,암컷
153,킨스트랩,드림,50.0,19.5,196.0,3900.0,수컷
154,킨스트랩,드림,51.3,19.2,193.0,3650.0,수컷
155,킨스트랩,드림,45.4,18.7,188.0,3525.0,암컷
156,킨스트랩,드림,52.7,19.8,197.0,3725.0,수컷
157,킨스트랩,드림,45.2,17.8,198.0,3950.0,암컷
158,킨스트랩,드림,46.1,18.2,178.0,3250.0,암컷
159,킨스트랩,드림,51.3,18.2,197.0,3750.0,수컷
160,킨스트랩,드림,46.0,18.9,195.0,4150.0,암컷
161,킨스트랩,드림,51.3,19.9,198.0,3700.0,수컷
162,킨스트랩,드림,46.6,17.8,193.0,3800.0,암컷
163,킨스트랩,드림,51.7,20.3,194.0,3775.0,수컷
164,킨스트랩,드림,47.0,17.3,185.0,3700.0,암컷
165,킨스트랩,드림,52.0,18.1,201.0,4050.0,수컷
166,킨스트랩,드림,45.9,17.1,190.0,3575.0,암컷
167,킨스트랩,드림,50.5,19.6,201.0,4050.0,수컷
168,킨스트랩,드림,50.3,20.0,197.0,3300.0,수컷
169,킨스트랩,드림,58.0,17.8,181.0,3700.0,암컷
170,킨스트랩,드림,46.4,18.6,190.0,3450.0,암컷
171,킨스트랩,드림,49.2,18.2,195.0,4400.0,수컷
172,킨스트랩,드림,42.4,17.3,181.0,3600.0,암컷
173,킨스트랩,드림,48.5,17.5,191.0,3400.0,수컷
174,킨스트랩,드림,43.2,16.6,187.0,2900.0,암컷
175,킨스트랩,드림,50.6,19.4,193.0,3800.0,수컷
176,킨스트랩,드림,46.7,17.9,195.0,3300.0,암컷
177,킨스트랩,드림,52.0,19.0,197.0,4150.0,수컷
178,킨스트랩,드림,50.5,18.4,200.0,3400.0,암컷
179,킨스트랩,드림,49.5,19.0,200.0,3800.0,수컷
180,킨스트랩,드림,46.4,17.8,191.0,3700.0,암컷
181,킨스트랩,드림,52.8,20.0,205.0,4550.0,수컷
182,킨스트랩,드림,40.9,16.6,187.0,3200.0,암컷
183,킨스트랩,드림,54.2,20.8,201.0,4300.0,수컷
184,킨스트랩,드림,42.5,16.7,187.0,3350.0,암컷
185,킨스트랩,드림,51.0,18.8,203.0,4100.0,수컷
186,킨스트랩,드림,49.7,18.6,195.0,3600.0,수컷
187,킨스트랩,드림,47.5,16.8,199.0,3900.0,암컷
188,킨스트랩,드림,47.6,18.3,195.0,3850.0,암컷
189,킨스트랩,드림,52.0,20.7,210.0,4800.0,수컷
190,킨스트랩,드림,46.9,16.6,192.0,2700.0,암컷
191,킨스트랩,드림,53.5,19.9,205.0,4500.0,수컷
192,킨스트랩,드림,49.0,19.5,210.0,3950.0,수컷
193,킨스트랩,드림,46.2,17.5,187.0,3650.0,암컷
194,킨스트랩,드림,50.9,19.1,196.0,3550.0,수컷
195,킨스트랩,드림,45.5,17.0,196.0,3500.0,암컷
196,킨스트랩,드림,50.9,17.9,196.0,3675.0,암컷
197,킨스트랩,드림,50.8,18.5,201.0,4450.0,수컷
198,킨스트랩,드림,50.1,17.9,190.0,3400.0,암컷
199,킨스트랩,드림,49.0,19.6,212.0,4300.0,수컷
200,킨스트랩,드림,51.5,18.7,187.0,3250.0,수컷
201,킨스트랩,드림,49.8,17.3,198.0,3675.0,암컷
202,킨스트랩,드림,48.1,16.4,199.0,3325.0,암컷
203,킨스트랩,드림,51.4,19.0,201.0,3950.0,수컷
204,킨스트랩,드림,45.7,17.3,193.0,3600.0,암컷
205,킨스트랩,드림,50.7,19.7,203.0,4050.0,수컷
206,킨스트랩,드림,42.5,17.3,187.0,3350.0,암컷
207,킨스트랩,드림,52.2,18.8,197.0,3450.0,수컷
208,킨스트랩,드림,45.2,16.6,191.0,3250.0,암컷
209,킨스트랩,드림,49.3,19.9,203.0,4050.0,수컷
210,킨스트랩,드림,50.2,18.8,202.0,3800.0,수컷
211,킨스트랩,드림,45.6,19.4,194.0,3525.0,암컷
212,킨스트랩,드림,51.9,19.5,206.0,3950.0,수컷
213,킨스트랩,드림,46.8,16.5,189.0,3650.0,암컷
214,킨스트랩,드림,45.7,17.0,195.0,3650.0,암컷
215,킨스트랩,드림,55.8,19.8,207.0,4000.0,수컷
216,킨스트랩,드림,43.5,18.1,202.0,3400.0,암컷
217,킨스트랩,드림,49.6,18.2,193.0,3775.0,수컷
218,킨스트랩,드림,50.8,19.0,210.0,4100.0,수컷
219,킨스트랩,드림,50.2,18.7,198.0,3775.0,암컷
220,젠투,비스코,46.1,13.2,211.0,4500.0,암컷
221,젠투,비스코,50.0,16.3,230.0,5700.0,수컷
222,젠투,비스코,48.7,14.1,210.0,4450.0,암컷
223,젠투,비스코,50.0,15.2,218.0,5700.0,수컷
224,젠투,비스코,47.6,14.5,215.0,5400.0,수컷
225,젠투,비스코,46.5,13.5,210.0,4550.0,암컷
226,젠투,비스코,45.4,14.6,211.0,4800.0,암컷
227,젠투,비스코,46.7,15.3,219.0,5200.0,수컷
228,젠투,비스코,43.3,13.4,209.0,4400.0,암컷
229,젠투,비스코,46.8,15.4,215.0,5150.0,수컷
230,젠투,비스코,40.9,13.7,214.0,4650.0,암컷
231,젠투,비스코,49.0,16.1,216.0,5550.0,수컷
232,젠투,비스코,45.5,13.7,214.0,4650.0,암컷
233,젠투,비스코,48.4,14.6,213.0,5850.0,수컷
234,젠투,비스코,45.8,14.6,210.0,4200.0,암컷
235,젠투,비스코,49.3,15.7,217.0,5850.0,수컷
236,젠투,비스코,42.0,13.5,210.0,4150.0,암컷
237,젠투,비스코,49.2,15.2,221.0,6300.0,수컷
238,젠투,비스코,46.2,14.5,209.0,4800.0,암컷
239,젠투,비스코,48.7,15.1,222.0,5350.0,수컷
240,젠투,비스코,50.2,14.3,218.0,5700.0,수컷
241,젠투,비스코,45.1,14.5,215.0,5000.0,암컷
242,젠투,비스코,46.5,14.5,213.0,4400.0,암컷
243,젠투,비스코,46.3,15.8,215.0,5050.0,수컷
244,젠투,비스코,42.9,13.1,215.0,5000.0,암컷
245,젠투,비스코,46.1,15.1,215.0,5100.0,수컷
246,젠투,비스코,44.5,14.3,216.0,4100.0,
247,젠투,비스코,47.8,15.0,215.0,5650.0,수컷
248,젠투,비스코,48.2,14.3,210.0,4600.0,암컷
249,젠투,비스코,50.0,15.3,220.0,5550.0,수컷
250,젠투,비스코,47.3,15.3,222.0,5250.0,수컷
251,젠투,비스코,42.8,14.2,209.0,4700.0,암컷
252,젠투,비스코,45.1,14.5,207.0,5050.0,암컷
253,젠투,비스코,59.6,17.0,230.0,6050.0,수컷
254,젠투,비스코,49.1,14.8,220.0,5150.0,암컷
255,젠투,비스코,48.4,16.3,220.0,5400.0,수컷
256,젠투,비스코,42.6,13.7,213.0,4950.0,암컷
257,젠투,비스코,44.4,17.3,219.0,5250.0,수컷
258,젠투,비스코,44.0,13.6,208.0,4350.0,암컷
259,젠투,비스코,48.7,15.7,208.0,5350.0,수컷
260,젠투,비스코,42.7,13.7,208.0,3950.0,암컷
261,젠투,비스코,49.6,16.0,225.0,5700.0,수컷
262,젠투,비스코,45.3,13.7,210.0,4300.0,암컷
263,젠투,비스코,49.6,15.0,216.0,4750.0,수컷
264,젠투,비스코,50.5,15.9,222.0,5550.0,수컷
265,젠투,비스코,43.6,13.9,217.0,4900.0,암컷
266,젠투,비스코,45.5,13.9,210.0,4200.0,암컷
267,젠투,비스코,50.5,15.9,225.0,5400.0,수컷
268,젠투,비스코,44.9,13.3,213.0,5100.0,암컷
269,젠투,비스코,45.2,15.8,215.0,5300.0,수컷
270,젠투,비스코,46.6,14.2,210.0,4850.0,암컷
271,젠투,비스코,48.5,14.1,220.0,5300.0,수컷
272,젠투,비스코,45.1,14.4,210.0,4400.0,암컷
273,젠투,비스코,50.1,15.0,225.0,5000.0,수컷
274,젠투,비스코,46.5,14.4,217.0,4900.0,암컷
275,젠투,비스코,45.0,15.4,220.0,5050.0,수컷
276,젠투,비스코,43.8,13.9,208.0,4300.0,암컷
277,젠투,비스코,45.5,15.0,220.0,5000.0,수컷
278,젠투,비스코,43.2,14.5,208.0,4450.0,암컷
279,젠투,비스코,50.4,15.3,224.0,5550.0,수컷
280,젠투,비스코,45.3,13.8,208.0,4200.0,암컷
281,젠투,비스코,46.2,14.9,221.0,5300.0,수컷
282,젠투,비스코,45.7,13.9,214.0,4400.0,암컷
283,젠투,비스코,54.3,15.7,231.0,5650.0,수컷
284,젠투,비스코,45.8,14.2,219.0,4700.0,암컷
285,젠투,비스코,49.8,16.8,230.0,5700.0,수컷
286,젠투,비스코,46.2,14.4,214.0,4650.0,
287,젠투,비스코,49.5,16.2,229.0,5800.0,수컷
288,젠투,비스코,43.5,14.2,220.0,4700.0,암컷
289,젠투,비스코,50.7,15.0,223.0,5550.0,수컷
290,젠투,비스코,47.7,15.0,216.0,4750.0,암컷
291,젠투,비스코,46.4,15.6,221.0,5000.0,수컷
292,젠투,비스코,48.2,15.6,221.0,5100.0,수컷
293,젠투,비스코,46.5,14.8,217.0,5200.0,암컷
294,젠투,비스코,46.4,15.0,216.0,4700.0,암컷
295,젠투,비스코,48.6,16.0,230.0,5800.0,수컷
296,젠투,비스코,47.5,14.2,209.0,4600.0,암컷
297,젠투,비스코,51.1,16.3,220.0,6000.0,수컷
298,젠투,비스코,45.2,13.8,215.0,4750.0,암컷
299,젠투,비스코,45.2,16.4,223.0,5950.0,수컷
300,젠투,비스코,49.1,14.5,212.0,4625.0,암컷
301,젠투,비스코,52.5,15.6,221.0,5450.0,수컷
302,젠투,비스코,47.4,14.6,212.0,4725.0,암컷
303,젠투,비스코,50.0,15.9,224.0,5350.0,수컷
304,젠투,비스코,44.9,13.8,212.0,4750.0,암컷
305,젠투,비스코,50.8,17.3,228.0,5600.0,수컷
306,젠투,비스코,43.4,14.4,218.0,4600.0,암컷
307,젠투,비스코,51.3,14.2,218.0,5300.0,수컷
308,젠투,비스코,47.5,14.0,212.0,4875.0,암컷
309,젠투,비스코,52.1,17.0,230.0,5550.0,수컷
310,젠투,비스코,47.5,15.0,218.0,4950.0,암컷
311,젠투,비스코,52.2,17.1,228.0,5400.0,수컷
312,젠투,비스코,45.5,14.5,212.0,4750.0,암컷
313,젠투,비스코,49.5,16.1,224.0,5650.0,수컷
314,젠투,비스코,44.5,14.7,214.0,4850.0,암컷
315,젠투,비스코,50.8,15.7,226.0,5200.0,수컷
316,젠투,비스코,49.4,15.8,216.0,4925.0,수컷
317,젠투,비스코,46.9,14.6,222.0,4875.0,암컷
318,젠투,비스코,48.4,14.4,203.0,4625.0,암컷
319,젠투,비스코,51.1,16.5,225.0,5250.0,수컷
320,젠투,비스코,48.5,15.0,219.0,4850.0,암컷
321,젠투,비스코,55.9,17.0,228.0,5600.0,수컷
322,젠투,비스코,47.2,15.5,215.0,4975.0,암컷
323,젠투,비스코,49.1,15.0,228.0,5500.0,수컷
324,젠투,비스코,47.3,13.8,216.0,4725.0,
325,젠투,비스코,46.8,16.1,215.0,5500.0,수컷
326,젠투,비스코,41.7,14.7,210.0,4700.0,암컷
327,젠투,비스코,53.4,15.8,219.0,5500.0,수컷
328,젠투,비스코,43.3,14.0,208.0,4575.0,암컷
329,젠투,비스코,48.1,15.1,209.0,5500.0,수컷
330,젠투,비스코,50.5,15.2,216.0,5000.0,암컷
331,젠투,비스코,49.8,15.9,229.0,5950.0,수컷
332,젠투,비스코,43.5,15.2,213.0,4650.0,암컷
333,젠투,비스코,51.5,16.3,230.0,5500.0,수컷
334,젠투,비스코,46.2,14.1,217.0,4375.0,암컷
335,젠투,비스코,55.1,16.0,230.0,5850.0,수컷
336,젠투,비스코,44.5,15.7,217.0,4875.0,
337,젠투,비스코,48.8,16.2,222.0,6000.0,수컷
338,젠투,비스코,47.2,13.7,214.0,4925.0,암컷
339,젠투,비스코,,,,,
340,젠투,비스코,46.8,14.3,215.0,4850.0,암컷
341,젠투,비스코,50.4,15.7,222.0,5750.0,수컷
342,젠투,비스코,45.2,14.8,212.0,5200.0,암컷
343,젠투,비스코,49.9,16.1,213.0,5400.0,수컷
